date,direction,bo_minutes,trigger_minutes,trigger_rank,depth_at_trigger,dr_size,entry,dist_to_extreme_pts,leg_risk_pts,leg_stopped_first,leg_mfe_r,leg_hit_old_extreme,leg_r_old_extreme,leg_hit_ext_025,leg_r_ext_025,leg_hit_ext_05,leg_r_ext_05,trig_risk_pts,trig_stopped_first,trig_mfe_r,trig_hit_old_extreme,trig_r_old_extreme,trig_hit_ext_025,trig_r_ext_025,trig_hit_ext_05,trig_r_ext_05,depth_b
2021-04-23,up,0,180,4,0.09190672153635117,182.25,13954.75,3.5,13.25,True,0.660377358490566,True,0.2641509433962264,False,-1.0,False,-1.0,6.75,True,1.2962962962962963,True,0.5185185185185185,False,-1.0,False,-1.0,<25%
2021-04-23,up,0,260,5,0.132,187.5,13963.25,0.25,24.5,True,0.7244897959183674,True,0.01020408163265306,False,-1.0,False,-1.0,12.25,True,0.5102040816326531,True,0.02040816326530612,False,-1.0,False,-1.0,<25%
2021-04-23,up,0,290,6,0.09948320413436693,193.5,13964.75,4.75,14.5,True,1.1206896551724137,True,0.3275862068965517,False,-1.0,False,-1.0,9.75,True,1.6666666666666667,True,0.48717948717948717,False,-1.0,False,-1.0,<25%
2021-04-26,up,15,35,1,0.15,80.0,13975.5,6.75,5.25,True,2.6666666666666665,True,1.2857142857142858,False,-1.0,False,-1.0,5.25,True,2.6666666666666665,True,1.2857142857142858,False,-1.0,False,-1.0,<25%
2021-04-26,up,15,50,2,0.0830945558739255,87.25,13988.25,1.25,6.0,True,0.0,False,-1.0,False,-1.0,False,-1.0,6.0,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-04-26,up,15,110,3,0.40114613180515757,87.25,13975.75,13.75,21.25,False,2.376470588235294,True,0.6470588235294118,True,1.673529411764706,False,1.8,10.5,True,0.0,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-04-26,up,15,205,4,0.07957559681697612,94.25,13993.5,3.0,4.5,True,7.277777777777778,True,0.6666666666666666,True,5.902777777777778,False,-1.0,4.5,True,7.277777777777778,True,0.6666666666666666,True,5.902777777777778,False,-1.0,<25%
2021-04-26,up,15,225,5,0.06682577565632458,104.75,14006.0,1.0,6.0,True,3.375,True,0.16666666666666666,False,-1.0,False,-1.0,6.0,True,3.375,True,0.16666666666666666,False,-1.0,False,-1.0,<25%
2021-04-26,up,15,250,6,0.056433408577878104,110.75,14012.5,0.5,5.75,True,2.391304347826087,True,0.08695652173913043,False,-1.0,False,-1.0,4.5,True,3.0555555555555554,True,0.1111111111111111,False,-1.0,False,-1.0,<25%
2021-04-29,down,0,15,1,0.24366197183098592,177.5,13890.25,7.0,36.25,True,0.1310344827586207,False,-1.0,False,-1.0,False,-1.0,34.0,True,0.13970588235294118,False,-1.0,False,-1.0,False,-1.0,<25%
2021-04-29,down,0,60,2,0.34225352112676055,177.5,13904.75,21.5,39.25,True,2.1974522292993632,True,0.5477707006369427,True,1.678343949044586,False,-1.0,23.5,True,3.6702127659574466,True,0.9148936170212766,True,2.8031914893617023,False,-1.0,25-50%
2021-04-29,down,0,185,3,0.3828689370485036,242.25,13891.0,72.5,20.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,20.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-04-29,down,0,210,4,0.4633642930856553,242.25,13915.75,97.25,15.0,True,0.1,False,-1.0,False,-1.0,False,-1.0,15.0,True,0.1,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-04-29,down,0,275,5,0.6697626418988648,242.25,13967.25,148.75,13.5,False,1.8518518518518519,False,0.9074074074074074,False,0.9074074074074074,False,0.9074074074074074,13.5,False,1.8518518518518519,False,0.9074074074074074,False,0.9074074074074074,False,0.9074074074074074,50-75%
2021-04-30,down,200,210,1,0.22011385199240988,131.75,13835.0,10.0,19.0,True,0.02631578947368421,False,-1.0,False,-1.0,False,-1.0,19.0,True,0.02631578947368421,False,-1.0,False,-1.0,False,-1.0,<25%
2021-04-30,down,200,265,2,0.3738140417457306,131.75,13856.5,31.5,17.75,True,0.0,False,-1.0,False,-1.0,False,-1.0,14.75,True,0.0,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-04-30,down,200,270,3,0.3946869070208729,131.75,13854.5,29.5,22.5,False,1.2222222222222223,False,-0.28888888888888886,False,-0.28888888888888886,False,-0.28888888888888886,22.5,False,1.2222222222222223,False,-0.28888888888888886,False,-0.28888888888888886,False,-0.28888888888888886,25-50%
2021-05-03,down,20,80,1,0.28093158660844253,171.75,13790.75,15.0,33.25,False,0.5639097744360902,True,0.45112781954887216,False,0.007518796992481203,False,0.007518796992481203,24.75,True,0.0,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-05-03,down,20,170,2,0.21652421652421652,175.5,13788.5,16.5,21.5,True,0.6976744186046512,False,-1.0,False,-1.0,False,-1.0,21.5,True,0.6976744186046512,False,-1.0,False,-1.0,False,-1.0,<25%
2021-05-03,down,20,285,3,0.27635327635327633,175.5,13800.5,28.5,20.0,False,1.325,False,0.5,False,0.5,False,0.5,11.25,False,2.3555555555555556,False,0.8888888888888888,False,0.8888888888888888,False,0.8888888888888888,25-50%
2021-05-04,down,15,50,1,0.07692307692307693,276.25,13425.75,5.5,15.75,True,0.0,False,-1.0,False,-1.0,False,-1.0,15.75,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-05-04,down,15,195,2,0.2596991290577989,315.75,13437.25,56.5,25.5,True,0.5784313725490197,False,-1.0,False,-1.0,False,-1.0,14.0,True,1.0535714285714286,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-05-06,up,60,75,1,0.0695266272189349,169.0,13553.25,4.5,7.25,True,1.4827586206896552,True,0.6206896551724138,False,-1.0,False,-1.0,7.25,True,1.4827586206896552,True,0.6206896551724138,False,-1.0,False,-1.0,<25%
