date,side,raid_type,raid_minutes,entry_minutes,raid_depth_r,leg_bars,leg_size,leg_size_r,entry,stop,risk_pts,entry_inside_ib,entry_proj,stopped,max_proj,minutes_to_1x
2021-07-07,long,close_through,0,70,0.5869017632241813,3,57.25,0.5768261964735516,14797.0,14726.25,70.75,True,1.1222707423580787,False,1.6812227074235808,5.0
2021-07-09,short,close_through,10,80,1.1385767790262171,1,5.75,0.08614232209737828,14800.25,14810.75,10.5,False,1.2173913043478262,True,2.347826086956522,5.0
2021-07-13,short,close_through,0,10,0.1545253863134658,2,12.0,0.10596026490066225,14947.75,14973.0,25.25,True,1.5208333333333333,True,1.9166666666666667,5.0
2021-07-13,long,close_through,210,235,0.0772626931567329,1,45.25,0.3995584988962472,14906.25,14833.5,72.75,True,1.4530386740331491,False,1.4917127071823204,5.0
2021-07-14,long,close_through,55,105,1.1967213114754098,5,57.5,0.9426229508196722,14927.0,14862.0,65.0,False,1.0826086956521739,False,1.4434782608695653,5.0
2021-07-15,long,close_through,15,35,0.2811158798283262,2,23.0,0.19742489270386265,14796.5,14753.0,43.5,True,1.641304347826087,True,3.097826086956522,5.0
2021-07-19,short,sweep,60,90,0.008528784648187633,2,37.0,0.31556503198294245,14506.0,14574.5,68.5,True,1.554054054054054,False,3.141891891891892,5.0
2021-07-19,long,sweep,5,15,0.09594882729211088,1,34.25,0.2921108742004264,14510.25,14445.0,65.25,True,1.0364963503649636,False,2.9124087591240877,5.0
2021-07-20,short,close_through,10,150,1.3113924050632912,1,8.0,0.0810126582278481,14715.5,14745.0,29.5,False,3.5,True,5.0,5.0
2021-07-21,short,close_through,30,145,0.23841059602649006,3,31.25,0.4139072847682119,14744.5,14785.75,41.25,True,1.192,True,1.496,5.0
2021-07-22,short,close_through,5,35,0.213768115942029,3,12.75,0.18478260869565216,14901.5,14923.25,21.75,True,1.2549019607843137,True,5.254901960784314,5.0
2021-07-23,short,close_through,0,95,1.074468085106383,1,14.0,0.19858156028368795,15060.5,15080.5,20.0,False,1.0357142857142858,True,1.0357142857142858,5.0
2021-07-26,short,close_through,5,15,0.06168831168831169,2,26.5,0.34415584415584416,15087.25,15122.0,34.75,True,1.2169811320754718,True,1.4056603773584906,5.0
2021-07-27,long,close_through,0,195,1.1364365971107544,3,42.25,0.2712680577849117,14825.0,14774.25,50.75,False,1.0118343195266273,False,4.053254437869822,5.0
2021-07-28,short,sweep,0,5,0.06134969325153374,1,7.5,0.046012269938650305,15050.0,15074.5,24.5,True,1.3333333333333333,False,18.433333333333334,5.0
2021-07-29,short,sweep,20,40,0.04627249357326478,1,4.75,0.04884318766066838,15068.5,15084.0,15.5,True,1.5263157894736843,False,9.578947368421053,5.0
2021-08-02,short,close_through,45,75,0.06436781609195402,1,2.25,0.020689655172413793,15034.5,15051.5,17.0,True,3.111111111111111,False,48.55555555555556,5.0
2021-08-03,short,close_through,85,110,0.08717948717948718,2,27.75,0.18974358974358974,14984.25,15021.5,37.25,True,1.0360360360360361,True,1.1981981981981982,5.0
2021-08-03,long,sweep,55,60,0.09230769230769231,3,42.75,0.2923076923076923,14915.75,14849.0,66.75,True,1.1345029239766082,False,4.2748538011695905,5.0
2021-08-04,short,close_through,150,175,0.5113636363636364,2,8.25,0.125,15088.0,15103.25,15.25,False,1.0606060606060606,True,3.272727272727273,5.0
2021-08-09,short,close_through,240,320,0.0967741935483871,4,22.75,0.32616487455197135,15119.25,15145.5,26.25,True,1.0769230769230769,False,1.0879120879120878,5.0
2021-08-10,long,close_through,0,60,1.625,3,34.25,0.5524193548387096,15042.25,14994.5,47.75,False,1.197080291970803,False,2.4744525547445257,5.0
2021-08-11,long,close_through,0,50,0.813953488372093,2,19.0,0.22093023255813954,14993.0,14963.0,30.0,False,1.1710526315789473,False,3.236842105263158,5.0
2021-08-12,short,close_through,0,85,0.6479750778816199,1,12.25,0.1526479750778816,15058.25,15073.5,15.25,False,1.1428571428571428,True,3.204081632653061,5.0
2021-08-17,short,close_through,10,55,0.1675531914893617,3,54.0,0.574468085106383,14983.0,15058.0,75.0,True,1.2685185185185186,False,2.861111111111111,5.0
2021-08-17,long,close_through,85,155,0.5452127659574468,1,6.75,0.07180851063829788,14935.0,14897.0,38.0,False,4.555555555555555,False,14.703703703703704,5.0
2021-08-18,long,sweep,65,70,0.10034602076124567,3,8.75,0.12110726643598616,14985.5,14957.75,27.75,True,1.2571428571428571,True,6.285714285714286,5.0
2021-08-19,short,close_through,25,95,0.9243353783231084,2,18.75,0.15337423312883436,14965.5,14999.0,33.5,False,1.2133333333333334,False,6.986666666666666,5.0
2021-08-20,short,sweep,5,25,0.04905660377358491,1,12.5,0.09433962264150944,15068.5,15098.0,29.5,True,1.26,True,6.62,5.0
2021-08-23,short,close_through,0,185,0.5667311411992263,3,16.0,0.12379110251450677,15302.75,15327.25,24.5,False,1.359375,True,1.4375,5.0
2021-08-24,short,close_through,0,15,0.1894273127753304,2,12.25,0.21585903083700442,15364.0,15380.5,16.5,True,1.2857142857142858,False,4.040816326530612,5.0
2021-08-25,long,close_through,0,30,0.4883720930232558,1,11.5,0.26744186046511625,15353.0,15333.0,20.0,False,1.1521739130434783,False,3.8043478260869565,5.0
2021-08-26,long,sweep,30,40,0.1343669250645995,1,26.5,0.2739018087855297,15307.5,15255.25,52.25,True,1.4150943396226414,False,3.0660377358490565,5.0
2021-08-27,short,close_through,170,200,0.06386554621848739,2,7.0,0.047058823529411764,15430.25,15438.25,8.0,False,1.1071428571428572,True,2.6785714285714284,5.0
2021-08-30,short,close_through,0,45,0.12076271186440678,2,14.0,0.11864406779661017,15559.75,15587.5,27.75,True,1.7142857142857142,True,1.6964285714285714,5.0
2021-09-02,long,close_through,105,140,0.19101123595505617,1,6.5,0.09737827715355805,15613.75,15602.5,11.25,False,1.1538461538461537,True,3.0384615384615383,5.0
2021-09-03,short,sweep,170,315,0.015384615384615385,5,18.25,0.16043956043956045,15646.0,15669.75,23.75,True,1.095890410958904,False,1.4246575342465753,5.0
2021-09-07,short,close_through,15,150,0.5282258064516129,3,12.5,0.20161290322580644,15684.25,15701.5,17.25,False,1.1,False,2.36,5.0
2021-09-08,long,close_through,0,30,1.4027149321266967,1,30.75,0.5565610859728507,15577.0,15534.5,42.5,False,1.032520325203252,True,1.5121951219512195,5.0
2021-09-09,long,close_through,55,95,0.20465116279069767,3,12.5,0.23255813953488372,15631.5,15611.0,20.5,True,1.4,True,2.04,5.0
2021-09-10,long,close_through,0,30,0.6088560885608856,1,1.25,0.01845018450184502,15583.0,15559.0,24.0,False,2.6,True,9.4,5.0
2021-09-13,long,sweep,45,140,0.0575,4,60.25,0.30125,15422.25,15346.0,76.25,True,1.0290456431535269,True,1.3941908713692945,5.0
2021-09-14,long,close_through,5,30,0.15481171548117154,1,10.25,0.08577405857740586,15418.5,15386.25,32.25,True,1.9268292682926829,True,8.829268292682928,5.0
2021-09-16,long,sweep,50,85,0.0410958904109589,2,26.25,0.23972602739726026,15404.25,15358.75,45.5,True,1.3904761904761904,False,6.276190476190476,5.0
2021-09-17,long,close_through,5,90,0.6004098360655737,1,30.5,0.25,15337.75,15289.75,48.0,False,1.5327868852459017,True,2.3934426229508197,5.0
2021-09-20,long,close_through,10,40,0.2427536231884058,1,28.25,0.20471014492753623,15031.5,14979.75,51.75,True,1.2035398230088497,True,1.6371681415929205,5.0
2021-09-21,long,close_through,15,35,0.2237354085603113,2,59.75,0.4649805447470817,15049.5,14974.5,75.0,True,1.0794979079497908,False,2.2510460251046025,5.0
2021-09-22,short,close_through,0,155,0.6209850107066381,5,38.5,0.3297644539614561,15134.5,15204.0,69.5,False,1.0649350649350648,True,2.2142857142857144,5.0
2021-09-23,short,close_through,180,210,0.054313099041533544,2,5.5,0.03514376996805112,15336.25,15347.0,10.75,True,1.5909090909090908,False,9.181818181818182,5.0
2021-09-24,short,close_through,100,180,0.4589041095890411,2,11.25,0.1541095890410959,15274.0,15296.25,22.25,False,1.5333333333333334,True,2.8444444444444446,5.0
2021-09-27,short,close_through,30,55,0.06321839080459771,1,43.75,0.33524904214559387,15167.5,15222.75,55.25,True,1.2342857142857142,True,2.3142857142857145,5.0
2021-09-28,long,close_through,20,65,0.29528535980148884,1,11.25,0.05583126550868486,14814.0,14768.0,46.0,False,2.1555555555555554,True,2.4,5.0
2021-09-29,long,close_through,65,165,0.5263157894736842,2,37.5,0.3157894736842105,14777.25,14725.0,52.25,False,1.08,True,1.2533333333333334,5.0
2021-09-30,long,close_through,0,45,0.4444444444444444,3,35.25,0.47474747474747475,14835.5,14771.5,64.0,True,1.4397163120567376,True,1.4822695035460993,5.0
2021-10-01,short,close_through,195,295,0.4269081500646831,3,28.5,0.14747736093143596,14780.25,14818.0,37.75,False,1.0175438596491229,False,1.9473684210526316,5.0
2021-10-01,long,close_through,5,15,0.027166882276843468,2,10.25,0.05304010349288486,14589.0,14537.0,52.0,True,4.7560975609756095,False,27.097560975609756,5.0
2021-10-04,long,close_through,0,155,0.6793802145411204,2,31.25,0.14898688915375446,14414.0,14367.75,46.25,False,1.472,False,4.08,5.0
2021-10-07,short,sweep,0,35,0.027829313543599257,1,13.0,0.09647495361781076,14967.5,14997.75,30.25,True,2.0384615384615383,True,3.1153846153846154,5.0
2021-10-08,long,close_through,10,100,0.37789203084832906,3,20.5,0.21079691516709512,14841.0,14809.0,32.0,False,1.0609756097560976,True,1.9268292682926829,5.0
2021-10-12,long,close_through,5,30,0.1450980392156863,2,26.25,0.20588235294117646,14667.0,14633.0,34.0,True,1.0761904761904761,True,3.5619047619047617,5.0
2021-10-13,short,sweep,210,235,0.15212527964205816,1,4.5,0.040268456375838924,14742.25,14795.75,53.5,True,3.5555555555555554,False,7.0,5.0
2021-10-13,long,sweep,65,75,0.058165548098434,3,38.25,0.3422818791946309,14731.25,14660.5,70.75,True,1.3856209150326797,False,3.0718954248366015,5.0
2021-10-14,short,sweep,20,30,0.03864734299516908,1,11.25,0.10869565217391304,14978.0,14998.0,20.0,True,1.1555555555555554,True,1.5555555555555556,5.0
2021-10-15,short,close_through,25,55,0.4084507042253521,2,8.5,0.1596244131455399,15106.0,15121.0,15.0,False,1.1176470588235294,True,6.705882352941177,5.0
2021-10-18,short,close_through,20,215,0.8620689655172413,1,6.0,0.05517241379310345,15247.0,15254.5,7.5,False,1.0416666666666667,True,2.1666666666666665,5.0
2021-10-19,short,close_through,25,175,0.5899581589958159,3,8.25,0.13807531380753138,15383.75,15397.0,13.25,False,1.393939393939394,True,1.4848484848484849,5.0
2021-10-20,short,close_through,0,5,0.1271186440677966,1,8.0,0.13559322033898305,15426.0,15446.5,20.5,True,2.375,False,15.75,5.0
2021-10-22,long,close_through,45,80,1.437299035369775,1,18.5,0.2379421221864952,15306.0,15273.75,32.25,False,1.364864864864865,False,5.554054054054054,5.0
2021-10-25,short,close_through,80,170,0.6532438478747203,1,7.75,0.06935123042505593,15494.25,15507.0,12.75,False,1.3225806451612903,True,2.2903225806451615,5.0
2021-10-26,short,sweep,20,25,0.023255813953488372,2,18.25,0.1543340380549683,15668.75,15701.0,32.25,True,1.4383561643835616,False,10.520547945205479,5.0
2021-10-27,short,close_through,20,195,0.7787114845938375,2,13.5,0.15126050420168066,15698.5,15717.5,19.0,False,1.2222222222222223,False,9.851851851851851,5.0
2021-10-28,short,close_through,0,80,0.5838926174496645,2,20.5,0.2751677852348993,15727.25,15753.5,26.25,False,1.1341463414634145,True,3.097560975609756,5.0
2021-10-29,short,close_through,35,65,0.4054794520547945,1,9.5,0.10410958904109589,15730.25,15744.0,13.75,False,1.0789473684210527,True,1.5789473684210527,5.0
2021-11-01,short,sweep,150,170,0.0325,2,9.5,0.095,15841.0,15871.75,30.75,True,2.736842105263158,True,8.210526315789474,5.0
2021-11-02,short,close_through,70,80,0.11510791366906475,1,22.5,0.2158273381294964,15943.5,15980.25,36.75,True,1.2555555555555555,False,2.9555555555555557,5.0
2021-11-04,short,close_through,0,30,0.24420677361853832,1,22.25,0.1586452762923351,16291.75,16331.5,39.75,True,1.7415730337078652,True,3.9213483146067416,5.0
2021-11-05,long,close_through,145,205,1.1220338983050848,2,61.5,0.8338983050847457,16356.0,16292.0,64.0,False,1.016260162601626,False,1.3780487804878048,5.0
