date,direction,bo_minutes,trigger_minutes,depth_at_trigger,dr_size,leg_bars,entry,stop,risk_pts,risk_dr,dist_to_extreme_r,mfe_r,stopped_first,hit_old_extreme,hit_ext_025,hit_ext_05,r_old_extreme,r_ext_025,r_ext_05
2024-05-29,up,0,25,0.26105263157894737,118.75,1,18868.0,18848.75,19.25,0.16210526315789472,0.6103896103896104,0.35064935064935066,True,False,False,False,-1.0,-1.0,-1.0
2024-05-30,down,5,25,0.3004032258064516,124.0,2,18658.5,18682.75,24.25,0.19556451612903225,0.5360824742268041,1.4329896907216495,True,True,False,False,0.5360824742268041,-1.0,-1.0
2024-06-03,down,15,90,0.38169934640522873,191.25,1,18591.75,18637.25,45.5,0.23790849673202613,0.6043956043956044,3.4285714285714284,True,True,True,True,0.6043956043956044,1.6552197802197801,2.706043956043956
2024-06-07,up,5,140,0.36666666666666664,135.0,1,19123.25,19078.0,45.25,0.3351851851851852,0.09392265193370165,0.7016574585635359,True,True,False,False,0.09392265193370165,-1.0,-1.0
2024-06-10,up,5,190,0.4686411149825784,143.5,1,19077.0,19054.0,23.0,0.1602787456445993,1.923913043478261,1.7826086956521738,True,False,False,False,-1.0,-1.0,-1.0
2024-06-13,down,110,135,0.3058103975535168,163.5,1,19521.75,19550.0,28.25,0.172782874617737,0.7699115044247787,0.0,True,False,False,False,-1.0,-1.0,-1.0
2024-06-14,up,160,260,0.3949579831932773,119.0,3,19673.75,19629.25,44.5,0.3739495798319328,0.056179775280898875,0.42134831460674155,False,True,False,False,0.056179775280898875,0.3089887640449438,0.3089887640449438
2024-06-20,down,110,270,0.3975409836065574,305.0,3,19992.75,20079.5,86.75,0.28442622950819674,0.3976945244956772,0.3285302593659942,False,False,False,False,-0.4899135446685879,-0.4899135446685879,-0.4899135446685879
2024-06-24,down,10,305,0.384446878422782,228.25,3,19816.25,19855.0,38.75,0.16976998904709747,1.264516129032258,1.9548387096774194,False,True,False,False,1.264516129032258,1.8451612903225807,1.8451612903225807
2024-06-28,down,105,175,0.3029513888888889,288.0,1,20050.25,20072.5,22.25,0.07725694444444445,2.9213483146067416,6.47191011235955,False,True,True,False,2.9213483146067416,6.157303370786517,5.292134831460674
2024-07-02,up,20,50,0.29983792544570503,154.25,2,20126.5,20084.75,41.75,0.2706645056726094,0.10778443113772455,0.7125748502994012,True,True,False,False,0.10778443113772455,-1.0,-1.0
2024-07-08,up,50,55,0.25396825396825395,78.75,1,20662.0,20646.75,15.25,0.19365079365079366,0.3114754098360656,0.47540983606557374,True,True,False,False,0.3114754098360656,-1.0,-1.0
2024-07-09,down,50,65,0.2733990147783251,101.5,2,20676.75,20698.0,21.25,0.20935960591133004,0.3058823529411765,0.0,True,False,False,False,-1.0,-1.0,-1.0
2024-07-12,up,0,140,0.463768115942029,241.5,2,20617.0,20554.75,62.25,0.2577639751552795,0.7991967871485943,1.9919678714859437,True,True,True,False,0.7991967871485943,1.7690763052208835,-1.0
2024-07-15,down,180,305,0.3837675350701403,249.5,3,20592.25,20643.25,51.0,0.20440881763527055,0.8774509803921569,1.6862745098039216,False,True,False,False,0.8774509803921569,-0.0196078431372549,-0.0196078431372549
2024-07-17,down,70,200,0.28036529680365296,273.75,2,20024.0,20084.5,60.5,0.22100456621004566,0.26859504132231404,0.5991735537190083,False,True,False,False,0.26859504132231404,0.5289256198347108,0.5289256198347108
2024-07-18,down,0,155,0.3946843853820598,376.25,2,19864.75,19921.5,56.75,0.15083056478405316,1.6167400881057268,0.00881057268722467,True,False,False,False,-1.0,-1.0,-1.0
2024-07-19,down,0,230,0.28527131782945736,322.5,1,19697.25,19746.0,48.75,0.1511627906976744,0.8871794871794871,0.5641025641025641,True,False,False,False,-1.0,-1.0,-1.0
2024-07-25,up,40,85,0.3465658475110271,396.75,1,19235.0,19142.5,92.5,0.23314429741650913,0.4864864864864865,1.681081081081081,True,True,True,False,0.4864864864864865,1.5587837837837837,-1.0
