date,slot,o,h,l,c,range,body_ratio,close_dist,exp_ratio,med20,rel_range,broke,break_dir,reverted,reverted_first,max_ext,max_retrace,ctype,body_ratio_b,rel_range_b,close_dist_b,exp_ratio_b
2024-08-19,7,19579.0,19618.5,19578.0,19610.0,40.5,0.7654320987654321,0.5802469135802469,1.3388429752066116,61.0,0.6639344262295082,True,up,True,False,0.5,1.8271604938271604,mixed,high,low,mid,high
2024-08-20,7,19878.0,19890.0,19861.25,19874.0,28.75,0.1391304347826087,0.11304347826086956,1.25,61.0,0.4713114754098361,True,down,True,False,1.7043478260869565,2.217391304347826,consolidation,low,low,low,mid
2024-08-21,7,19840.75,19861.75,19824.25,19831.75,37.5,0.24,0.6,0.7575757575757576,61.0,0.6147540983606558,True,down,True,True,0.3,1.6,consolidation,low,low,mid,low
2024-08-22,7,19956.0,19987.25,19951.5,19976.75,35.75,0.5804195804195804,0.4125874125874126,0.7900552486187845,61.0,0.5860655737704918,True,up,True,True,1.062937062937063,1.4055944055944056,mixed,high,low,mid,low
2024-08-23,7,19740.75,19746.25,19721.75,19737.75,24.5,0.12244897959183673,0.30612244897959184,0.620253164556962,55.75,0.43946188340807174,True,up,True,True,1.3061224489795917,1.6224489795918366,consolidation,low,low,low,low
2024-08-26,7,19808.75,19817.5,19745.0,19774.0,72.5,0.4793103448275862,0.2,1.5591397849462365,49.0,1.4795918367346939,True,down,True,True,0.46551724137931033,0.7793103448275862,mixed,mid,high,low,high
2024-08-27,7,19576.5,19614.5,19554.0,19595.5,60.5,0.3140495867768595,0.371900826446281,0.7731629392971247,56.5,1.0707964601769913,True,down,False,False,1.859504132231405,0.2768595041322314,mixed,mid,mid,mid,low
2024-08-28,7,19662.75,19667.5,19609.5,19618.75,58.0,0.7586206896551724,0.6810344827586207,3.0526315789473686,61.125,0.9488752556237219,True,down,True,True,1.3620689655172413,0.8103448275862069,mixed,high,mid,high,high
2024-08-29,7,19448.25,19491.75,19418.5,19466.25,73.25,0.24573378839590443,0.3037542662116041,0.9071207430340558,61.125,1.1983640081799591,True,up,True,True,2.1808873720136517,0.6552901023890785,mixed,low,mid,low,mid
2024-08-30,7,19545.75,19545.75,19512.75,19526.75,33.0,0.5757575757575758,0.15151515151515152,0.6839378238341969,62.75,0.5258964143426295,True,up,True,False,1.7424242424242424,1.128787878787879,mixed,high,low,low,low
2024-09-02,7,19596.25,19608.0,19584.5,19604.25,23.5,0.3404255319148936,0.6808510638297872,1.236842105263158,59.25,0.39662447257383965,True,up,False,False,1.5957446808510638,0.2553191489361702,consolidation,mid,low,high,mid
2024-09-03,7,19500.0,19511.5,19457.75,19495.0,53.75,0.09302325581395349,0.386046511627907,0.9598214285714286,54.625,0.9839816933638444,True,up,True,True,0.2,3.358139534883721,mixed,low,mid,mid,mid
2024-09-04,7,18861.5,18887.5,18844.25,18873.0,43.25,0.2658959537572254,0.32947976878612717,0.5924657534246576,52.5,0.8238095238095238,True,up,True,True,2.398843930635838,0.7572254335260116,mixed,low,mid,low,low
2024-09-05,7,18947.0,18967.0,18908.75,18916.75,58.25,0.51931330472103,0.7253218884120172,1.8346456692913387,47.25,1.2328042328042328,True,down,True,False,1.3991416309012876,2.609442060085837,expansion,mid,high,high,high
