date,range_name,model,side,penetration_pts,penetration_atr,disp_ratio,range_width,rr1.3->mid,extreme->mid,proj25->mid,proj50->mid,rr1.3->opp,extreme->opp,proj25->opp,proj50->opp,extreme 50@q25/50@mid,extreme 50@mid/50@opp,extreme 50@1R/50@2R,proj25 50@q25/50@mid,proj25 50@mid/50@opp,proj25 50@1R/50@2R,proj50 50@q25/50@mid,proj50 50@mid/50@opp,proj50 50@1R/50@2R
2021-04-22,7am,failure,long,2.5,0.5303030303030303,1.1049723756906076,24.25,1.2999999999999026,4.85,2.0,1.0,1.3000000000000294,9.7,4.0,2.0,3.6375,7.275,0.5,1.5,3.0,1.5,0.75,1.5,1.5
2021-04-23,7am,failure,short,0.75,0.19626168224299065,4.705882352941177,19.75,1.299999999999928,-1.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.5,1.0,1.5,0.75,0.5,0.5
2021-04-26,6am,retest,short,3.75,1.0994764397905759,1.6901408450704227,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.25,-1.0,-1.0
2021-04-26,6am,retest,long,10.5,2.7348837209302324,5.8730158730158735,18.0,1.3000000000001313,0.8571428571428571,-1.0,1.0,1.2999999999999605,1.7142857142857142,-1.0,2.0,0.21428571428571427,1.2857142857142858,1.5,0.5,-1.0,0.5,0.25,1.5,1.5
2021-04-26,7am,retest,short,1.25,0.35714285714285715,2.935779816513761,32.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-04-26,7am,failure,short,2.0,0.7320261437908496,0.7547169811320755,32.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.015625,-1.0,1.5,0.5,-1.0,0.5,0.25,-1.0,-1.0
2021-04-27,6am,retest,short,2.5,1.0687022900763359,0.9090909090909091,21.25,1.3000000000001113,4.25,2.0,1.0,1.2999999999999665,-1.0,-1.0,2.0,3.1875,2.125,0.5,1.5,1.0,1.5,0.75,0.5,0.5
2021-04-27,6am,failure,short,1.0,0.42748091603053434,1.3861386138613863,21.25,1.3000000000001113,-1.0,2.0,1.0,1.2999999999999665,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,1.5,1.0,1.5,0.75,0.5,0.5
2021-04-27,7am,retest,short,2.75,0.927710843373494,3.518518518518518,13.75,1.3000000000001375,-1.0,-1.0,1.0,1.2999999999999141,-1.0,-1.0,2.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0,0.25,0.5,0.5
2021-04-28,6am,retest,short,4.0,1.4640522875816993,3.4,15.75,-1.0,-1.0,-1.0,-1.0,1.299999999999985,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
